Yo,|tone_cr_pwr|con el fin de|seal_action||tone_action|endo|seal_cr_pwr|Sello el|timecell|de|seal_func|con el tono |tone_name|de|tone_func|Me guía|guiding_power|Soy un Portal de Activación Galáctica|Castillo:|Red Eastern Castle of Turning|White Northern Castle of Crossing|Blue Western Castle of Burning|Yellow Southern Castle of Giving|Green Central Castle of Enchantment|Onda Encantada:
155|3|12|39|AZUL|12|CRISTAL|Dedicarse|Universalizar|Cooperación|15|Águila|Crear|Mente|Visíon|salida| el poder de realización|1| |5|3|||||
156|3|12|39|AMARILLO|13|CÓSMICO|Perdura|Transcender|Presencia|16|Guerrero|Cuestionar|Intrepidez|Inteligencia|salida| el poder de fuego universal|| |1|4|||||
157|4|13|40|ROJO|1|MAGNÉTICO|Unifica|Atraer|Propósito|17|Tierra|Evolucionar|Sincronicidad|Navegación|matriz| mi propio poder duplicado|| |2|1|||||
158|4|13|40|BLANCO|2|LUNAR|Polariza|Estabilizar|Desafío|18|Espejo|Reflejar|Orden|Sin Fin|matriz| el poder de corazón|| |3|2|||||
159|4|13|40|AZUL|3|ELÉCTRICO|Activa|Vincular|Servicio|19|Tormenta|Catalizar|Energía|Auto Generación|matriz| el poder de abundancia|| |4|3|||||
160|4|13|40|AMARILLO|4|AUTO-EXISTENTE|Define|Medir|Forma|20|Sol|Iluminar|Vida|Fuego Universal|matriz| el poder de inteligencia||I am a polar kin I convert the YELLOW galactic spectrum |5|4|||||
161|4|13|41|ROJO|5|ENTONADO|Confiere Poder|Comandar|Esplendor|1|Dragón|Nutrir|Ser|Nacimiento|entrada| el poder de agua universal|| |1|1|||||
162|4|13|41|BLANCO|6|RÍTMICO|Organiza|Equilibrar|Igualdad|2|Viento|Comunicar|Aliento|Espíritu|entrada| mi propio poder duplicado|| |2|2|||||
163|4|13|41|AZUL|7|RESONANTE|Canaliza|Inspirar|Sintonización|3|Noche|Soñar|Intuición|Abundancia|entrada| el poder de visión|| |3|3|||||
164|4|13|41|AMARILLO|8|GALÁCTICO|Armoniza|Modelar|Integridad|4|Semilla|Atinar|Atención|Florecimiento|entrada| el poder de elegance|| |4|4|||||
165|4|13|42|ROJO|9|SOLAR|Pulsa|Realizar|Intención|5|Serpiente|Sobrevivir|Instinto|Fuerza Vital|almacén| el poder de birth|1| |5|1|||||
166|4|13|42|BLANCO|10|PLANETARIO|Perfecciona|Producir|Manifestación|6|Enlazador|Igualar|Oportunidad|Muerte|almacén| el poder de atemporalidad|| |1|2|||||
167|4|13|42|AZUL|11|ESPECTRAL|Disuelve|Divulgar|Liberación|7|Mano|Conocer|Sanación|Realización|almacén| mi propio poder duplicado|| |2|3|||||
168|4|13|42|AMARILLO|12|CRISTAL|Dedicarse|Universalizar|Cooperación|8|Estrella|Embellecer|Arte|Elegancia|almacén| el poder de fuego universal|1| |3|4|||||
169|4|13|43|ROJO|13|CÓSMICO|Perdura|Transcender|Presencia|9|Luna|Purificar|Flujo|Agua Universal|proceso| el poder de espacio|| |4|1|||||
170|4|14|43|BLANCO|1|MAGNÉTICO|Unifica|Atraer|Propósito|10|Perro|Amar|Lealtad|Corazón|proceso| mi propio poder duplicado|| |5|2|||||
171|4|14|43|AZUL|2|LUNAR|Polariza|Estabilizar|Desafío|11|Mono|Jugar|Ilusión|Magia|proceso| el poder de abundancia|| |1|3|||||
172|4|14|43|AMARILLO|3|ELÉCTRICO|Activa|Vincular|Servicio|12|Humano|Influenciar|Sabiduría|Libre Voluntad|proceso| el poder de inteligencia|| |2|4|||||
173|4|14|44|ROJO|4|AUTO-EXISTENTE|Define|Medir|Forma|13|Caminante|Explorar|Vigiliancia|Espacio|salida| el poder de agua universal|1| |3|1|||||
174|4|14|44|BLANCO|5|ENTONADO|Confiere Poder|Comandar|Esplendor|14|Mago|Encantar|Receptividad|Atemporalidad|salida| el poder de espiritu|| |4|2|||||
175|4|14|44|AZUL|6|RÍTMICO|Organiza|Equilibrar|Igualdad|15|Águila|Crear|Mente|Visíon|salida| mi propio poder duplicado|| |5|3|||||
176|4|14|44|AMARILLO|7|RESONANTE|Canaliza|Inspirar|Sintonización|16|Guerrero|Cuestionar|Intrepidez|Inteligencia|salida| el poder de elegance|1| |1|4|||||
177|4|14|45|ROJO|8|GALÁCTICO|Armoniza|Modelar|Integridad|17|Tierra|Evolucionar|Sincronicidad|Navegación|matriz| el poder de birth|| |2|1|||||
178|4|14|45|BLANCO|9|SOLAR|Pulsa|Realizar|Intención|18|Espejo|Reflejar|Orden|Sin Fin|matriz| el poder de atemporalidad|| |3|2|||||
179|4|14|45|AZUL|10|PLANETARIO|Perfecciona|Producir|Manifestación|19|Tormenta|Catalizar|Energía|Auto Generación|matriz| el poder de realización|| |4|3|||||
180|4|14|45|AMARILLO|11|ESPECTRAL|Disuelve|Divulgar|Liberación|20|Sol|Iluminar|Vida|Fuego Universal|matriz| mi propio poder duplicado||I am a polar kin I transport the YELLOW galactic spectrum |5|4|||||
181|4|14|46|ROJO|12|CRISTAL|Dedicarse|Universalizar|Cooperación|1|Dragón|Nutrir|Ser|Nacimiento|entrada| el poder de espacio|| |1|1|||||
182|4|14|46|BLANCO|13|CÓSMICO|Perdura|Transcender|Presencia|2|Viento|Comunicar|Aliento|Espíritu|entrada| el poder de muerte|| |2|2|||||
183|4|15|46|AZUL|1|MAGNÉTICO|Unifica|Atraer|Propósito|3|Noche|Soñar|Intuición|Abundancia|entrada| mi propio poder duplicado|| |3|3|||||
184|4|15|46|AMARILLO|2|LUNAR|Polariza|Estabilizar|Desafío|4|Semilla|Atinar|Atención|Florecimiento|entrada| el poder de inteligencia|1| |4|4|||||
185|4|15|47|ROJO|3|ELÉCTRICO|Activa|Vincular|Servicio|5|Serpiente|Sobrevivir|Instinto|Fuerza Vital|almacén| el poder de agua universal||I am a polar kin I establish the RED galactic spectrum|5|1|||||
186|4|15|47|BLANCO|4|AUTO-EXISTENTE|Define|Medir|Forma|6|Enlazador|Igualar|Oportunidad|Muerte|almacén| el poder de espiritu|| |1|2|||||
187|4|15|47|AZUL|5|ENTONADO|Confiere Poder|Comandar|Esplendor|7|Mano|Conocer|Sanación|Realización|almacén| el poder de visión|| |2|3|||||
188|4|15|47|AMARILLO|6|RÍTMICO|Organiza|Equilibrar|Igualdad|8|Estrella|Embellecer|Arte|Elegancia|almacén| mi propio poder duplicado|| |3|4|||||
189|4|15|48|ROJO|7|RESONANTE|Canaliza|Inspirar|Sintonización|9|Luna|Purificar|Flujo|Agua Universal|proceso| el poder de birth|1| |4|1|||||
190|4|15|48|BLANCO|8|GALÁCTICO|Armoniza|Modelar|Integridad|10|Perro|Amar|Lealtad|Corazón|proceso| el poder de atemporalidad|| |5|2|||||
191|4|15|48|AZUL|9|SOLAR|Pulsa|Realizar|Intención|11|Mono|Jugar|Ilusión|Magia|proceso| el poder de realización|| |1|3|||||
192|4|15|48|AMARILLO|10|PLANETARIO|Perfecciona|Producir|Manifestación|12|Humano|Influenciar|Sabiduría|Libre Voluntad|proceso| el poder de fuego universal|1| |2|4|||||
193|4|15|49|ROJO|11|ESPECTRAL|Disuelve|Divulgar|Liberación|13|Caminante|Explorar|Vigiliancia|Espacio|salida| mi propio poder duplicado|| |3|1|||||
194|4|15|49|BLANCO|12|CRISTAL|Dedicarse|Universalizar|Cooperación|14|Mago|Encantar|Receptividad|Atemporalidad|salida| el poder de muerte|| |4|2|||||
195|4|15|49|AZUL|13|CÓSMICO|Perdura|Transcender|Presencia|15|Águila|Crear|Mente|Visíon|salida| el poder de auto generación|| |5|3|||||
196|4|16|49|AMARILLO|1|MAGNÉTICO|Unifica|Atraer|Propósito|16|Guerrero|Cuestionar|Intrepidez|Inteligencia|salida| mi propio poder duplicado|| |1|4|||||
197|4|16|50|ROJO|2|LUNAR|Polariza|Estabilizar|Desafío|17|Tierra|Evolucionar|Sincronicidad|Navegación|matriz| el poder de agua universal|1| |2|1|||||
198|4|16|50|BLANCO|3|ELÉCTRICO|Activa|Vincular|Servicio|18|Espejo|Reflejar|Orden|Sin Fin|matriz| el poder de espiritu|| |3|2|||||
199|4|16|50|AZUL|4|AUTO-EXISTENTE|Define|Medir|Forma|19|Tormenta|Catalizar|Energía|Auto Generación|matriz| el poder de visión|| |4|3|||||
200|4|16|50|AMARILLO|5|ENTONADO|Confiere Poder|Comandar|Esplendor|20|Sol|Iluminar|Vida|Fuego Universal|matriz| el poder de elegance|| |5|4|||||
201|4|16|51|ROJO|6|RÍTMICO|Organiza|Equilibrar|Igualdad|1|Dragón|Nutrir|Ser|Nacimiento|entrada| mi propio poder duplicado|| |1|1|||||
202|4|16|51|BLANCO|7|RESONANTE|Canaliza|Inspirar|Sintonización|2|Viento|Comunicar|Aliento|Espíritu|entrada| el poder de atemporalidad|| |2|2|||||
203|4|16|51|AZUL|8|GALÁCTICO|Armoniza|Modelar|Integridad|3|Noche|Soñar|Intuición|Abundancia|entrada| el poder de realización|1| |3|3|||||
204|4|16|51|AMARILLO|9|SOLAR|Pulsa|Realizar|Intención|4|Semilla|Atinar|Atención|Florecimiento|entrada| el poder de fuego universal|| |4|4|||||
205|4|16|52|ROJO|10|PLANETARIO|Perfecciona|Producir|Manifestación|5|Serpiente|Sobrevivir|Instinto|Fuerza Vital|almacén| el poder de espacio||I am a polar kin I extend the RED galactic spectrum|5|1|||||
206|4|16|52|BLANCO|11|ESPECTRAL|Disuelve|Divulgar|Liberación|6|Enlazador|Igualar|Oportunidad|Muerte|almacén| mi propio poder duplicado|| |1|2|||||
207|4|16|52|AZUL|12|CRISTAL|Dedicarse|Universalizar|Cooperación|7|Mano|Conocer|Sanación|Realización|almacén| el poder de auto generación|| |2|3|||||
208|4|16|52|AMARILLO|13|CÓSMICO|Perdura|Transcender|Presencia|8|Estrella|Embellecer|Arte|Elegancia|almacén| el poder de libre voluntad|| |3|4|||||
209|5|17|53|ROJO|1|MAGNÉTICO|Unifica|Atraer|Propósito|9|Luna|Purificar|Flujo|Agua Universal|proceso| mi propio poder duplicado|| |4|1|||||
210|5|17|53|BLANCO|2|LUNAR|Polariza|Estabilizar|Desafío|10|Perro|Amar|Lealtad|Corazón|proceso| el poder de espiritu|1| |5|2|||||
211|5|17|53|AZUL|3|ELÉCTRICO|Activa|Vincular|Servicio|11|Mono|Jugar|Ilusión|Magia|proceso| el poder de visión|1| |1|3|||||
212|5|17|53|AMARILLO|4|AUTO-EXISTENTE|Define|Medir|Forma|12|Humano|Influenciar|Sabiduría|Libre Voluntad|proceso| el poder de elegance|| |2|4|||||
213|5|17|54|ROJO|5|ENTONADO|Confiere Poder|Comandar|Esplendor|13|Caminante|Explorar|Vigiliancia|Espacio|salida| el poder de birth|| |3|1|||||
214|5|17|54|BLANCO|6|RÍTMICO|Organiza|Equilibrar|Igualdad|14|Mago|Encantar|Receptividad|Atemporalidad|salida| mi propio poder duplicado|| |4|2|||||
215|5|17|54|AZUL|7|RESONANTE|Canaliza|Inspirar|Sintonización|15|Águila|Crear|Mente|Visíon|salida| el poder de realización|| |5|3|||||
216|5|17|54|AMARILLO|8|GALÁCTICO|Armoniza|Modelar|Integridad|16|Guerrero|Cuestionar|Intrepidez|Inteligencia|salida| el poder de fuego universal|| |1|4|||||
217|5|17|55|ROJO|9|SOLAR|Pulsa|Realizar|Intención|17|Tierra|Evolucionar|Sincronicidad|Navegación|matriz| el poder de espacio|| |2|1|||||
218|5|17|55|BLANCO|10|PLANETARIO|Perfecciona|Producir|Manifestación|18|Espejo|Reflejar|Orden|Sin Fin|matriz| el poder de muerte|1| |3|2|||||
219|5|17|55|AZUL|11|ESPECTRAL|Disuelve|Divulgar|Liberación|19|Tormenta|Catalizar|Energía|Auto Generación|matriz| mi propio poder duplicado|| |4|3|||||
220|5|17|55|AMARILLO|12|CRISTAL|Dedicarse|Universalizar|Cooperación|20|Sol|Iluminar|Vida|Fuego Universal|matriz| el poder de libre voluntad|| |5|4|||||
221|5|17|56|ROJO|13|CÓSMICO|Perdura|Transcender|Presencia|1|Dragón|Nutrir|Ser|Nacimiento|entrada| el poder de fuerza vital|| |1|1|||||
222|5|18|56|BLANCO|1|MAGNÉTICO|Unifica|Atraer|Propósito|2|Viento|Comunicar|Aliento|Espíritu|entrada| mi propio poder duplicado|1| |2|2|||||
223|5|18|56|AZUL|2|LUNAR|Polariza|Estabilizar|Desafío|3|Noche|Soñar|Intuición|Abundancia|entrada| el poder de visión|| |3|3|||||
224|5|18|56|AMARILLO|3|ELÉCTRICO|Activa|Vincular|Servicio|4|Semilla|Atinar|Atención|Florecimiento|entrada| el poder de elegance|| |4|4|||||
225|5|18|57|ROJO|4|AUTO-EXISTENTE|Define|Medir|Forma|5|Serpiente|Sobrevivir|Instinto|Fuerza Vital|almacén| el poder de birth||I am a polar kin I convert the RED galactic spectrum|5|1|||||
226|5|18|57|BLANCO|5|ENTONADO|Confiere Poder|Comandar|Esplendor|6|Enlazador|Igualar|Oportunidad|Muerte|almacén| el poder de atemporalidad|| |1|2|||||
227|5|18|57|AZUL|6|RÍTMICO|Organiza|Equilibrar|Igualdad|7|Mano|Conocer|Sanación|Realización|almacén| mi propio poder duplicado|| |2|3|||||
228|5|18|57|AMARILLO|7|RESONANTE|Canaliza|Inspirar|Sintonización|8|Estrella|Embellecer|Arte|Elegancia|almacén| el poder de fuego universal|| |3|4|||||
229|5|18|58|ROJO|8|GALÁCTICO|Armoniza|Modelar|Integridad|9|Luna|Purificar|Flujo|Agua Universal|proceso| el poder de espacio|| |4|1|||||
230|5|18|58|BLANCO|9|SOLAR|Pulsa|Realizar|Intención|10|Perro|Amar|Lealtad|Corazón|proceso| el poder de muerte|| |5|2|||||
231|5|18|58|AZUL|10|PLANETARIO|Perfecciona|Producir|Manifestación|11|Mono|Jugar|Ilusión|Magia|proceso| el poder de auto generación|| |1|3|||||
232|5|18|58|AMARILLO|11|ESPECTRAL|Disuelve|Divulgar|Liberación|12|Humano|Influenciar|Sabiduría|Libre Voluntad|proceso| mi propio poder duplicado|| |2|4|||||
233|5|18|59|ROJO|12|CRISTAL|Dedicarse|Universalizar|Cooperación|13|Caminante|Explorar|Vigiliancia|Espacio|salida| el poder de fuerza vital|| |3|1|||||
234|5|18|59|BLANCO|13|CÓSMICO|Perdura|Transcender|Presencia|14|Mago|Encantar|Receptividad|Atemporalidad|salida| el poder de sin fin|| |4|2|||||
235|5|19|59|AZUL|1|MAGNÉTICO|Unifica|Atraer|Propósito|15|Águila|Crear|Mente|Visíon|salida| mi propio poder duplicado|| |5|3|||||
236|5|19|59|AMARILLO|2|LUNAR|Polariza|Estabilizar|Desafío|16|Guerrero|Cuestionar|Intrepidez|Inteligencia|salida| el poder de elegance|| |1|4|||||
237|5|19|60|ROJO|3|ELÉCTRICO|Activa|Vincular|Servicio|17|Tierra|Evolucionar|Sincronicidad|Navegación|matriz| el poder de birth|| |2|1|||||
238|5|19|60|BLANCO|4|AUTO-EXISTENTE|Define|Medir|Forma|18|Espejo|Reflejar|Orden|Sin Fin|matriz| el poder de atemporalidad|| |3|2|||||
239|5|19|60|AZUL|5|ENTONADO|Confiere Poder|Comandar|Esplendor|19|Tormenta|Catalizar|Energía|Auto Generación|matriz| el poder de realización|1| |4|3|||||
240|5|19|60|AMARILLO|6|RÍTMICO|Organiza|Equilibrar|Igualdad|20|Sol|Iluminar|Vida|Fuego Universal|matriz| mi propio poder duplicado|| |5|4|||||
241|5|19|61|ROJO|7|RESONANTE|Canaliza|Inspirar|Sintonización|1|Dragón|Nutrir|Ser|Nacimiento|entrada| el poder de espacio|1| |1|1|||||
242|5|19|61|BLANCO|8|GALÁCTICO|Armoniza|Modelar|Integridad|2|Viento|Comunicar|Aliento|Espíritu|entrada| el poder de muerte|| |2|2|||||
243|5|19|61|AZUL|9|SOLAR|Pulsa|Realizar|Intención|3|Noche|Soñar|Intuición|Abundancia|entrada| el poder de auto generación|| |3|3|||||
244|5|19|61|AMARILLO|10|PLANETARIO|Perfecciona|Producir|Manifestación|4|Semilla|Atinar|Atención|Florecimiento|entrada| el poder de libre voluntad|| |4|4|||||
245|5|19|62|ROJO|11|ESPECTRAL|Disuelve|Divulgar|Liberación|5|Serpiente|Sobrevivir|Instinto|Fuerza Vital|almacén| mi propio poder duplicado||I am a polar kin I transport the RED galactic spectrum|5|1|||||
246|5|19|62|BLANCO|12|CRISTAL|Dedicarse|Universalizar|Cooperación|6|Enlazador|Igualar|Oportunidad|Muerte|almacén| el poder de sin fin|| |1|2|||||
247|5|19|62|AZUL|13|CÓSMICO|Perdura|Transcender|Presencia|7|Mano|Conocer|Sanación|Realización|almacén| el poder de magia|| |2|3|||||
248|5|20|62|AMARILLO|1|MAGNÉTICO|Unifica|Atraer|Propósito|8|Estrella|Embellecer|Arte|Elegancia|almacén| mi propio poder duplicado|| |3|4|||||
249|5|20|63|ROJO|2|LUNAR|Polariza|Estabilizar|Desafío|9|Luna|Purificar|Flujo|Agua Universal|proceso| el poder de birth|| |4|1|||||
250|5|20|63|BLANCO|3|ELÉCTRICO|Activa|Vincular|Servicio|10|Perro|Amar|Lealtad|Corazón|proceso| el poder de atemporalidad||I am a polar kin I establish the WHITE galactic spectrum|5|2|||||
251|5|20|63|AZUL|4|AUTO-EXISTENTE|Define|Medir|Forma|11|Mono|Jugar|Ilusión|Magia|proceso| el poder de realización|| |1|3|||||
252|5|20|63|AMARILLO|5|ENTONADO|Confiere Poder|Comandar|Esplendor|12|Humano|Influenciar|Sabiduría|Libre Voluntad|proceso| el poder de fuego universal|| |2|4|||||
253|5|20|64|ROJO|6|RÍTMICO|Organiza|Equilibrar|Igualdad|13|Caminante|Explorar|Vigiliancia|Espacio|salida| mi propio poder duplicado|| |3|1|||||
254|5|20|64|BLANCO|7|RESONANTE|Canaliza|Inspirar|Sintonización|14|Mago|Encantar|Receptividad|Atemporalidad|salida| el poder de muerte|| |4|2|||||
255|5|20|64|AZUL|8|GALÁCTICO|Armoniza|Modelar|Integridad|15|Águila|Crear|Mente|Visíon|salida| el poder de auto generación|| |5|3|||||
256|5|20|64|AMARILLO|9|SOLAR|Pulsa|Realizar|Intención|16|Guerrero|Cuestionar|Intrepidez|Inteligencia|salida| el poder de libre voluntad|| |1|4|||||
257|5|20|65|ROJO|10|PLANETARIO|Perfecciona|Producir|Manifestación|17|Tierra|Evolucionar|Sincronicidad|Navegación|matriz| el poder de fuerza vital|| |2|1|||||
258|5|20|65|BLANCO|11|ESPECTRAL|Disuelve|Divulgar|Liberación|18|Espejo|Reflejar|Orden|Sin Fin|matriz| mi propio poder duplicado|| |3|2|||||
259|5|20|65|AZUL|12|CRISTAL|Dedicarse|Universalizar|Cooperación|19|Tormenta|Catalizar|Energía|Auto Generación|matriz| el poder de magia|| |4|3|||||
260|5|20|65|AMARILLO|13|CÓSMICO|Perdura|Transcender|Presencia|20|Sol|Iluminar|Vida|Fuego Universal|matriz| el poder de florecimiento|1| |5|4|||||
