I|tone_cr_pwr|in order to|seal_action||tone_action||seal_cr_pwr|I seal the|timecell|of|seal_func|With the|tone_name|tone of|tone_func|I am guided by |guiding_power|I am a galactic activation portal enter me|Castle:|Red Eastern Castle of Turning|White Northern Castle of Crossing|Blue Western Castle of Burning|Yellow Southern Castle of Giving|Green Central Castle of Enchantment|Wavespell:
175|4|14|44|BLUE|6|RHYTHMIC|Organize|Balancing|Equality|15|EAGLE|Create|Mind|Vision|output| my own power doubled|| |5|3|||||
176|4|14|44|YELLOW|7|RESONANT|Channel|Inspiring|Attunement|16|WARRIOR|Question|Fearlessness|Intelligence|output| the power of elegance|1| |1|4|||||
177|4|14|45|RED|8|GALACTIC|Harmonize|Modeling|Integrity|17|EARTH|Evolve|Syncronicity|Navigation|matrix| the power of birth|| |2|1|||||
178|4|14|45|WHITE|9|SOLAR|Pulse|Realizing|Intention|18|MIRROR|Reflect|Order|Endlessness|matrix| the power of timelessness|| |3|2|||||
179|4|14|45|BLUE|10|PLANETARY|Perfect|Producing|Manifestation|19|STORM|Catalyze|Energy|Self-Generation|matrix| the power of accomplishment|| |4|3|||||
180|4|14|45|YELLOW|11|SPECTRAL|Dissolve|Releasing|Liberation|20|SUN|Enlighten|Life|Universal Fire|matrix| my own power doubled||I am a polar kin I transport the YELLOW galactic spectrum |5|4|||||
181|4|14|46|RED|12|CRYSTAL|Dedicate|Universalizing|Cooperation|1|DRAGON|Nurture|Being|Birth|input| the power of space|| |1|1|||||
182|4|14|46|WHITE|13|COSMIC|Endure|Transcending|Presence|2|WIND|Communicate|Breath|Spirit|input| the power of death|| |2|2|||||
183|4|15|46|BLUE|1|MAGNETIC|Unify|Attracting|Purpose|3|NIGHT|Dream|Intuition|Abundance|input| my own power doubled|| |3|3|||||
184|4|15|46|YELLOW|2|LUNAR|Polarize|Stabilizing|Challenge|4|SEED|Target|Awareness|Flowering|input| the power of intelligence|1| |4|4|||||
185|4|15|47|RED|3|ELECTRIC|Activate|Bonding|Service|5|SERPENT|Survive|Instinct|Life Force|store| the power of universal water||I am a polar kin I establish the RED galactic spectrum|5|1|||||
186|4|15|47|WHITE|4|SELF-EXISTING|Define|Measuring|Form|6|WORLDBRIDGER|Equalize|Opportunity|Death|store| the power of spirit|| |1|2|||||
187|4|15|47|BLUE|5|OVERTONE|Empower|Commanding |Radiance|7|HAND|Know|Healing|Accomplishment|store| the power of vision|| |2|3|||||
188|4|15|47|YELLOW|6|RHYTHMIC|Organize|Balancing|Equality|8|STAR|Beautify|Art|Elegance|store| my own power doubled|| |3|4|||||
189|4|15|48|RED|7|RESONANT|Channel|Inspiring|Attunement|9|MOON|Purify|Flow|Universal Water|process| the power of birth|1| |4|1|||||
190|4|15|48|WHITE|8|GALACTIC|Harmonize|Modeling|Integrity|10|DOG|Love|Loyalty|Heart|process| the power of timelessness|| |5|2|||||
191|4|15|48|BLUE|9|SOLAR|Pulse|Realizing|Intention|11|MONKEY|Play|Illusion|Magic|process| the power of accomplishment|| |1|3|||||
192|4|15|48|YELLOW|10|PLANETARY|Perfect|Producing|Manifestation|12|HUMAN|Influence|Wisdom|Free Will|process| the power of universal fire|1| |2|4|||||
193|4|15|49|RED|11|SPECTRAL|Dissolve|Releasing|Liberation|13|SKYWALKER|Explore|Wakefulness|Space|output| my own power doubled|| |3|1|||||
194|4|15|49|WHITE|12|CRYSTAL|Dedicate|Universalizing|Cooperation|14|WIZARD|Enchant|Receptivity|Timelessness|output| the power of death|| |4|2|||||
195|4|15|49|BLUE|13|COSMIC|Endure|Transcending|Presence|15|EAGLE|Create|Mind|Vision|output| the power of self-generation|| |5|3|||||
196|4|16|49|YELLOW|1|MAGNETIC|Unify|Attracting|Purpose|16|WARRIOR|Question|Fearlessness|Intelligence|output| my own power doubled|| |1|4|||||
197|4|16|50|RED|2|LUNAR|Polarize|Stabilizing|Challenge|17|EARTH|Evolve|Syncronicity|Navigation|matrix| the power of universal water|1| |2|1|||||
198|4|16|50|WHITE|3|ELECTRIC|Activate|Bonding|Service|18|MIRROR|Reflect|Order|Endlessness|matrix| the power of spirit|| |3|2|||||
199|4|16|50|BLUE|4|SELF-EXISTING|Define|Measuring|Form|19|STORM|Catalyze|Energy|Self-Generation|matrix| the power of vision|| |4|3|||||
200|4|16|50|YELLOW|5|OVERTONE|Empower|Commanding |Radiance|20|SUN|Enlighten|Life|Universal Fire|matrix| the power of elegance|| |5|4|||||
201|4|16|51|RED|6|RHYTHMIC|Organize|Balancing|Equality|1|DRAGON|Nurture|Being|Birth|input| my own power doubled|| |1|1|||||
202|4|16|51|WHITE|7|RESONANT|Channel|Inspiring|Attunement|2|WIND|Communicate|Breath|Spirit|input| the power of timelessness|| |2|2|||||
203|4|16|51|BLUE|8|GALACTIC|Harmonize|Modeling|Integrity|3|NIGHT|Dream|Intuition|Abundance|input| the power of accomplishment|1| |3|3|||||
204|4|16|51|YELLOW|9|SOLAR|Pulse|Realizing|Intention|4|SEED|Target|Awareness|Flowering|input| the power of universal fire|| |4|4|||||
205|4|16|52|RED|10|PLANETARY|Perfect|Producing|Manifestation|5|SERPENT|Survive|Instinct|Life Force|store| the power of space||I am a polar kin I extend the RED galactic spectrum|5|1|||||
206|4|16|52|WHITE|11|SPECTRAL|Dissolve|Releasing|Liberation|6|WORLDBRIDGER|Equalize|Opportunity|Death|store| my own power doubled|| |1|2|||||
207|4|16|52|BLUE|12|CRYSTAL|Dedicate|Universalizing|Cooperation|7|HAND|Know|Healing|Accomplishment|store| the power of self-generation|| |2|3|||||
208|4|16|52|YELLOW|13|COSMIC|Endure|Transcending|Presence|8|STAR|Beautify|Art|Elegance|store| the power of free will|| |3|4|||||
209|5|17|53|RED|1|MAGNETIC|Unify|Attracting|Purpose|9|MOON|Purify|Flow|Universal Water|process| my own power doubled|| |4|1|||||
210|5|17|53|WHITE|2|LUNAR|Polarize|Stabilizing|Challenge|10|DOG|Love|Loyalty|Heart|process| the power of spirit|1| |5|2|||||
211|5|17|53|BLUE|3|ELECTRIC|Activate|Bonding|Service|11|MONKEY|Play|Illusion|Magic|process| the power of vision|1| |1|3|||||
212|5|17|53|YELLOW|4|SELF-EXISTING|Define|Measuring|Form|12|HUMAN|Influence|Wisdom|Free Will|process| the power of elegance|| |2|4|||||
213|5|17|54|RED|5|OVERTONE|Empower|Commanding |Radiance|13|SKYWALKER|Explore|Wakefulness|Space|output| the power of birth|| |3|1|||||
214|5|17|54|WHITE|6|RHYTHMIC|Organize|Balancing|Equality|14|WIZARD|Enchant|Receptivity|Timelessness|output| my own power doubled|| |4|2|||||
215|5|17|54|BLUE|7|RESONANT|Channel|Inspiring|Attunement|15|EAGLE|Create|Mind|Vision|output| the power of accomplishment|| |5|3|||||
216|5|17|54|YELLOW|8|GALACTIC|Harmonize|Modeling|Integrity|16|WARRIOR|Question|Fearlessness|Intelligence|output| the power of universal fire|| |1|4|||||
217|5|17|55|RED|9|SOLAR|Pulse|Realizing|Intention|17|EARTH|Evolve|Syncronicity|Navigation|matrix| the power of space|| |2|1|||||
218|5|17|55|WHITE|10|PLANETARY|Perfect|Producing|Manifestation|18|MIRROR|Reflect|Order|Endlessness|matrix| the power of death|1| |3|2|||||
219|5|17|55|BLUE|11|SPECTRAL|Dissolve|Releasing|Liberation|19|STORM|Catalyze|Energy|Self-Generation|matrix| my own power doubled|| |4|3|||||
220|5|17|55|YELLOW|12|CRYSTAL|Dedicate|Universalizing|Cooperation|20|SUN|Enlighten|Life|Universal Fire|matrix| the power of free will|| |5|4|||||
221|5|17|56|RED|13|COSMIC|Endure|Transcending|Presence|1|DRAGON|Nurture|Being|Birth|input| the power of life force|| |1|1|||||
222|5|18|56|WHITE|1|MAGNETIC|Unify|Attracting|Purpose|2|WIND|Communicate|Breath|Spirit|input| my own power doubled|1| |2|2|||||
223|5|18|56|BLUE|2|LUNAR|Polarize|Stabilizing|Challenge|3|NIGHT|Dream|Intuition|Abundance|input| the power of vision|| |3|3|||||
224|5|18|56|YELLOW|3|ELECTRIC|Activate|Bonding|Service|4|SEED|Target|Awareness|Flowering|input| the power of elegance|| |4|4|||||
225|5|18|57|RED|4|SELF-EXISTING|Define|Measuring|Form|5|SERPENT|Survive|Instinct|Life Force|store| the power of birth||I am a polar kin I convert the RED galactic spectrum|5|1|||||
226|5|18|57|WHITE|5|OVERTONE|Empower|Commanding |Radiance|6|WORLDBRIDGER|Equalize|Opportunity|Death|store| the power of timelessness|| |1|2|||||
227|5|18|57|BLUE|6|RHYTHMIC|Organize|Balancing|Equality|7|HAND|Know|Healing|Accomplishment|store| my own power doubled|| |2|3|||||
228|5|18|57|YELLOW|7|RESONANT|Channel|Inspiring|Attunement|8|STAR|Beautify|Art|Elegance|store| the power of universal fire|| |3|4|||||
229|5|18|58|RED|8|GALACTIC|Harmonize|Modeling|Integrity|9|MOON|Purify|Flow|Universal Water|process| the power of space|| |4|1|||||
230|5|18|58|WHITE|9|SOLAR|Pulse|Realizing|Intention|10|DOG|Love|Loyalty|Heart|process| the power of death|| |5|2|||||
231|5|18|58|BLUE|10|PLANETARY|Perfect|Producing|Manifestation|11|MONKEY|Play|Illusion|Magic|process| the power of self-generation|| |1|3|||||
232|5|18|58|YELLOW|11|SPECTRAL|Dissolve|Releasing|Liberation|12|HUMAN|Influence|Wisdom|Free Will|process| my own power doubled|| |2|4|||||
233|5|18|59|RED|12|CRYSTAL|Dedicate|Universalizing|Cooperation|13|SKYWALKER|Explore|Wakefulness|Space|output| the power of life force|| |3|1|||||
234|5|18|59|WHITE|13|COSMIC|Endure|Transcending|Presence|14|WIZARD|Enchant|Receptivity|Timelessness|output| the power of endlessness|| |4|2|||||
235|5|19|59|BLUE|1|MAGNETIC|Unify|Attracting|Purpose|15|EAGLE|Create|Mind|Vision|output| my own power doubled|| |5|3|||||
236|5|19|59|YELLOW|2|LUNAR|Polarize|Stabilizing|Challenge|16|WARRIOR|Question|Fearlessness|Intelligence|output| the power of elegance|| |1|4|||||
237|5|19|60|RED|3|ELECTRIC|Activate|Bonding|Service|17|EARTH|Evolve|Syncronicity|Navigation|matrix| the power of birth|| |2|1|||||
238|5|19|60|WHITE|4|SELF-EXISTING|Define|Measuring|Form|18|MIRROR|Reflect|Order|Endlessness|matrix| the power of timelessness|| |3|2|||||
239|5|19|60|BLUE|5|OVERTONE|Empower|Commanding |Radiance|19|STORM|Catalyze|Energy|Self-Generation|matrix| the power of accomplishment|1| |4|3|||||
240|5|19|60|YELLOW|6|RHYTHMIC|Organize|Balancing|Equality|20|SUN|Enlighten|Life|Universal Fire|matrix| my own power doubled|| |5|4|||||
241|5|19|61|RED|7|RESONANT|Channel|Inspiring|Attunement|1|DRAGON|Nurture|Being|Birth|input| the power of space|1| |1|1|||||
242|5|19|61|WHITE|8|GALACTIC|Harmonize|Modeling|Integrity|2|WIND|Communicate|Breath|Spirit|input| the power of death|| |2|2|||||
243|5|19|61|BLUE|9|SOLAR|Pulse|Realizing|Intention|3|NIGHT|Dream|Intuition|Abundance|input| the power of self-generation|| |3|3|||||
244|5|19|61|YELLOW|10|PLANETARY|Perfect|Producing|Manifestation|4|SEED|Target|Awareness|Flowering|input| the power of free will|| |4|4|||||
245|5|19|62|RED|11|SPECTRAL|Dissolve|Releasing|Liberation|5|SERPENT|Survive|Instinct|Life Force|store| my own power doubled||I am a polar kin I transport the RED galactic spectrum|5|1|||||
246|5|19|62|WHITE|12|CRYSTAL|Dedicate|Universalizing|Cooperation|6|WORLDBRIDGER|Equalize|Opportunity|Death|store| the power of endlessness|| |1|2|||||
247|5|19|62|BLUE|13|COSMIC|Endure|Transcending|Presence|7|HAND|Know|Healing|Accomplishment|store| the power of magic|| |2|3|||||
248|5|20|62|YELLOW|1|MAGNETIC|Unify|Attracting|Purpose|8|STAR|Beautify|Art|Elegance|store| my own power doubled|| |3|4|||||
249|5|20|63|RED|2|LUNAR|Polarize|Stabilizing|Challenge|9|MOON|Purify|Flow|Universal Water|process| the power of birth|| |4|1|||||
250|5|20|63|WHITE|3|ELECTRIC|Activate|Bonding|Service|10|DOG|Love|Loyalty|Heart|process| the power of timelessness||I am a polar kin I establish the WHITE galactic spectrum|5|2|||||
251|5|20|63|BLUE|4|SELF-EXISTING|Define|Measuring|Form|11|MONKEY|Play|Illusion|Magic|process| the power of accomplishment|| |1|3|||||
252|5|20|63|YELLOW|5|OVERTONE|Empower|Commanding |Radiance|12|HUMAN|Influence|Wisdom|Free Will|process| the power of universal fire|| |2|4|||||
253|5|20|64|RED|6|RHYTHMIC|Organize|Balancing|Equality|13|SKYWALKER|Explore|Wakefulness|Space|output| my own power doubled|| |3|1|||||
254|5|20|64|WHITE|7|RESONANT|Channel|Inspiring|Attunement|14|WIZARD|Enchant|Receptivity|Timelessness|output| the power of death|| |4|2|||||
255|5|20|64|BLUE|8|GALACTIC|Harmonize|Modeling|Integrity|15|EAGLE|Create|Mind|Vision|output| the power of self-generation|| |5|3|||||
256|5|20|64|YELLOW|9|SOLAR|Pulse|Realizing|Intention|16|WARRIOR|Question|Fearlessness|Intelligence|output| the power of free will|| |1|4|||||
257|5|20|65|RED|10|PLANETARY|Perfect|Producing|Manifestation|17|EARTH|Evolve|Syncronicity|Navigation|matrix| the power of life force|| |2|1|||||
258|5|20|65|WHITE|11|SPECTRAL|Dissolve|Releasing|Liberation|18|MIRROR|Reflect|Order|Endlessness|matrix| my own power doubled|| |3|2|||||
259|5|20|65|BLUE|12|CRYSTAL|Dedicate|Universalizing|Cooperation|19|STORM|Catalyze|Energy|Self-Generation|matrix| the power of magic|| |4|3|||||
260|5|20|65|YELLOW|13|COSMIC|Endure|Transcending|Presence|20|SUN|Enlighten|Life|Universal Fire|matrix| the power of flowering|1| |5|4|||||

